driver_id,given_name,family_name,full_name,code,permanent_number,nationality
1,Max,Verstappen,Max Verstappen,VER,1,
3,Charles,Leclerc,Charles Leclerc,LEC,16,
4,Carlos,Sainz,Carlos Sainz,SAI,55,
5,Fernando,Alonso,Fernando Alonso,ALO,14,
6,George,Russell,George Russell,RUS,63,
7,Lewis,Hamilton,Lewis Hamilton,HAM,44,
8,Lance,Stroll,Lance Stroll,STR,18,
9,Esteban,Ocon,Esteban Ocon,OCO,31,
10,Nico,Hulkenberg,Nico Hulkenberg,HUL,27,
11,Lando,Norris,Lando Norris,NOR,4,
14,Yuki,Tsunoda,Yuki Tsunoda,TSU,22,
15,Alexander,Albon,Alexander Albon,ALB,23,
18,Oscar,Piastri,Oscar Piastri,PIA,81,
20,Pierre,Gasly,Pierre Gasly,GAS,10,
23,Isack,Hadjar,Isack Hadjar,HAD,6,
24,Gabriel,Bortoleto,Gabriel Bortoleto,BOR,5,
25,Liam,Lawson,Liam Lawson,LAW,30,
26,Oliver,Bearman,Oliver Bearman,BEA,87,
27,Franco,Colapinto,Franco Colapinto,COL,43,
28,Jack,Doohan,Jack Doohan,DOO,7,
29,Kimi,Antonelli,Kimi Antonelli,ANT,12,
